,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
109,15-1299.01,Web Administrators,0.84,1,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",3.61,4.12,3.75,3.88,4.05,4.77,4,4.5
110,15-1299.02,Geographic Information Systems Technologists and Technicians,0.75,1,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",3.69,3.94,3.69,3.69,4.88,4.82,4.17,4.55
111,15-1299.03,Document Management Specialists,0.61,1,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",3.43,3.75,3.25,3.62,4.06,4.19,3.3,4.2
112,15-1299.08,Computer Systems Engineers/Architects,0.84,1,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",4,3.88,4,4,5.29,5.36,4.37,4.67
113,15-1299.09,Information Technology Project Managers,0.91,1,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",3.82,4.25,3.88,4,4.95,5.52,3.71,4.38
114,15-2011.00,Actuaries,0.97,1,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",4.21,4.75,4.12,4.62,5.41,4.94,3.22,4.81
115,15-2021.00,Mathematicians,0.99,1,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",4.68,5.12,5.25,4.88,4.9,4.9,4.29,4.96
116,15-2031.00,Operations Research Analysts,0.95,1,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",4.13,4.38,4.12,4.38,4.67,5.22,4.35,5
117,15-2041.00,Statisticians,0.95,1,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",4.14,4.88,3.88,4.12,4.74,4.62,3.6,4.6
118,15-2041.01,Biostatisticians,0.98,1,Develop and apply biostatistical theory and methods to the study of life sciences.,4.29,4.88,4.88,4.5,4.36,4.76,3.42,4.74
119,15-2051.01,Business Intelligence Analysts,0.92,1,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,3.95,4.25,4.12,3.62,4.68,4.77,3.48,4.81
120,15-2051.02,Clinical Data Managers,0.85,1,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",3.82,4.25,4,3.62,4.86,4.62,3.15,4.1
121,15-2099.01,Bioinformatics Technicians,0.62,1,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",3.68,3.75,3.88,3.38,5.32,4.67,3.72,4.16
122,17-1011.00,"Architects, Except Landscape and Naval",0.96,1,"Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",4.37,4.5,4.12,4.25,4.17,5.12,3.86,4.55
123,17-1012.00,Landscape Architects,0.79,1,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",3.9,3.88,3.75,3.75,4.37,5.35,4.21,4
124,17-1021.00,Cartographers and Photogrammetrists,0.42,0,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",3.48,3.75,3.38,3.12,4.3,4.27,3.85,3.59
125,17-1022.00,Surveyors,0.74,1,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",3.61,4,3.38,3.25,4.72,4.49,3.33,4.47
126,17-1022.01,Geodetic Surveyors,0.8,1,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",3.71,4,3.88,3.88,5.42,4.74,3.35,4.5
127,17-2011.00,Aerospace Engineers,0.94,1,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",4.18,4.62,3.88,4.25,5.22,5.17,3.97,4.51
128,17-2021.00,Agricultural Engineers,0.9,1,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",3.96,4.25,3.88,4.38,4.88,5.1,4.04,4.46
129,17-2031.00,Bioengineers and Biomedical Engineers,0.97,1,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",4.52,4.75,4.75,4.62,5.17,5.48,4.13,4.37
130,17-2041.00,Chemical Engineers,0.98,1,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",4.52,4.88,4.5,4.38,5.15,5.19,4.19,4.86
131,17-2051.00,Civil Engineers,0.97,1,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",4.25,4.62,4.62,4.12,4.63,5,3.43,4.38
132,17-2051.01,Transportation Engineers,0.92,1,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",4.25,4.12,4,4.12,4.56,4.86,3.59,4.55
133,17-2051.02,Water/Wastewater Engineers,0.93,1,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",4.18,4.12,4,4.75,4.75,5.16,3.48,4.57
134,17-2061.00,Computer Hardware Engineers,0.9,1,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",4.07,4.12,4.12,4.12,5.2,5.3,4.1,4.52
135,17-2071.00,Electrical Engineers,0.8,1,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",3.82,4,3.38,3.75,4.67,4.66,3.56,4.43
136,17-2072.00,"Electronics Engineers, Except Computer",0.78,1,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",3.95,4,3.75,4.12,4.88,4.64,4.3,4.53
